Path,Relative Path,Type,Component,Optimization,Size,Created,Modified,Owner,Permissions,Security Issues,File Type,LOC,Imports Count,Functions Count,Classes Count
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli/C:,C:,Directory,Directory Structure,Review Structure,N/A,N/A,N/A,N/A,N/A,None,N/A,N/A,N/A,N/A,N/A
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli/C:\Users\slick\OneDrive\Desktop\slick_ai_system\backup,C:\Users\slick\OneDrive\Desktop\slick_ai_system\backup,Directory,Directory Structure,Review Structure,N/A,N/A,N/A,N/A,N/A,None,N/A,N/A,N/A,N/A,N/A
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli/correct_input.py,correct_input.py,File,Python Script,Review for Optimization,772,2025-06-13T15:35:17.990417,2025-06-13T14:03:52.400930,slyslickmojo,0o100777,None,Python,22,3,0,0
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli/deploy_tools.py,deploy_tools.py,File,Python Script,Review for Optimization,274,2025-06-13T15:35:18.111761,2025-06-12T13:01:20.309522,slyslickmojo,0o100777,None,Python,7,0,1,0
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli/glossary_sync.py,glossary_sync.py,File,Python Script,Review for Optimization,796,2025-06-13T15:35:18.119982,2025-06-12T13:08:44.743357,slyslickmojo,0o100777,None,Python,20,2,1,0
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli/help.py,help.py,File,Python Script,Review for Optimization,2073,2025-06-13T15:35:18.126989,2025-06-13T01:41:16.202649,slyslickmojo,0o100777,None,Python,59,3,2,0
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli/learn_mode.py,learn_mode.py,File,Python Script,Review for Optimization,791,2025-06-13T15:35:18.134825,2025-06-12T12:59:17.227956,slyslickmojo,0o100777,None,Python,26,1,2,0
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli/order_manager.py,order_manager.py,File,Python Script,Review for Optimization,1475,2025-06-13T15:35:18.140833,2025-06-12T13:57:18.421727,slyslickmojo,0o100777,None,Python,45,5,4,1
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli/plain_knowledge.py,plain_knowledge.py,File,Python Script,Review for Optimization,3823,2025-06-13T15:35:18.146829,2025-06-12T13:35:43.820634,slyslickmojo,0o100777,None,Python,109,7,6,0
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli/report_project.py,report_project.py,File,Python Script,Review for Optimization,18549,2025-06-13T19:07:18.442825,2025-06-13T19:07:18.442825,slyslickmojo,0o100777,[A-Za-z0-9\-_]{24},Python,465,18,17,7
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli/see_monitor.py,see_monitor.py,File,Python Script,Review for Optimization,1504,2025-06-13T15:35:18.160552,2025-06-12T14:05:50.695749,slyslickmojo,0o100777,None,Python,51,11,4,0
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli/slick_cli.py,slick_cli.py,File,Python Script,Review for Optimization,2010,2025-06-13T15:35:18.170917,2025-06-13T11:21:05.819531,slyslickmojo,0o100777,None,Python,68,6,3,0
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli/status.py,status.py,File,Python Script,Review for Optimization,304,2025-06-13T15:35:18.176914,2025-06-13T01:35:47.156929,slyslickmojo,0o100777,None,Python,8,0,1,0
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli/step_trainer.py,step_trainer.py,File,Python Script,Review for Optimization,2221,2025-06-13T15:35:18.184915,2025-06-12T13:51:25.881559,slyslickmojo,0o100777,None,Python,67,3,2,0
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli/sync_vscode.py,sync_vscode.py,File,Python Script,Review for Optimization,872,2025-06-13T15:35:18.188908,2025-06-13T11:54:26.251867,slyslickmojo,0o100777,None,Python,30,5,2,1
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli/tools.py,tools.py,File,Python Script,Review for Optimization,345,2025-06-13T15:35:18.191267,2025-06-12T13:02:43.904134,slyslickmojo,0o100777,None,Python,9,1,1,0
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli/__init__,__init__,File,Other,No Change Needed,1245,2025-06-13T15:35:18.195266,2025-06-12T20:28:19.505011,slyslickmojo,0o100777,None,N/A,N/A,N/A,N/A,N/A
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli/C:/Users,C:/Users,Directory,Directory Structure,Review Structure,N/A,N/A,N/A,N/A,N/A,None,N/A,N/A,N/A,N/A,N/A
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli/C:/Users/slick,C:/Users/slick,Directory,Directory Structure,Review Structure,N/A,N/A,N/A,N/A,N/A,None,N/A,N/A,N/A,N/A,N/A
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli/C:/Users/slick/OneDrive,C:/Users/slick/OneDrive,Directory,Directory Structure,Review Structure,N/A,N/A,N/A,N/A,N/A,None,N/A,N/A,N/A,N/A,N/A
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli/C:/Users/slick/OneDrive/Desktop,C:/Users/slick/OneDrive/Desktop,Directory,Directory Structure,Review Structure,N/A,N/A,N/A,N/A,N/A,None,N/A,N/A,N/A,N/A,N/A
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli/C:/Users/slick/OneDrive/Desktop/slick_ai_system,C:/Users/slick/OneDrive/Desktop/slick_ai_system,Directory,Directory Structure,Review Structure,N/A,N/A,N/A,N/A,N/A,None,N/A,N/A,N/A,N/A,N/A
